ID,Age,Hrs/Day
A47,36,2.5
A86,38,0.5
B21,27,5
B95,20,7.5
C01,33,4.5
C87,26,5.5
D23,37,2
D92,24,4
E25,30,5.5
E63,29,4
E81,37,0.5
F03,24,7.5
F30,34,5
G54,33,2
G85,37,4
G92,36,3.5
H49,31,6.5
H86,34,3.5
I20,36,4
I28,37,5.5
I44,39,5
I57,35,4.5
I97,25,6.5
J73,35,1.5
J85,38,0.5
K12,31,4
K71,20,9
K74,40,0.5
L19,21,8.5
L51,40,3
L62,20,10
L80,38,3
M01,22,7.5
M08,29,6.5
M19,32,6
M22,21,8.5
M48,19,7
N03,33,7.5
N28,29,3.5
N32,18,9
N39,35,0.5
N70,24,6.5
N86,32,3
O23,19,5.5
O53,30,9.5
O87,36,4
P05,21,8
P43,18,8.5
Q57,28,6
R21,28,6
R73,32,3.5
R76,21,10
R95,39,2
R98,29,1
S25,36,4
S67,33,1
S97,37,1
T16,31,5
T83,24,6
T85,24,9
T91,31,6.5
U32,37,4
U76,24,5
U77,21,9
V69,22,8
V76,29,1.5
W25,27,7.5
X06,34,1
X15,31,5
X69,34,2.5
X90,37,1.5
Y00,32,6.5
Y19,18,8
Y46,33,0.5
Y77,32,3
Y92,40,1
Z42,29,2.5
Z47,34,3
Z66,32,3
Z91,20,4
