Student ID,Year In School,Practice Exam Grade,Actual Exam Grade
GM61129,Freshman,63,78
DS97849,Freshman,79,89
CE25615,Freshman,56,69
HG43444,Freshman,65,85
OH57941,Freshman,79,87
WJ75791,Upperclassman,70,88
ZT49928,Upperclassman,60,88
LR92437,Freshman,41,65
TU70634,Freshman,71,94
AA13294,Upperclassman,79,101
LR48258,Upperclassman,79,95
JP60072,Upperclassman,43,96
WS82245,Upperclassman,48,80
RT44869,Upperclassman,74,95
TL19850,Upperclassman,78,91
XQ25220,Freshman,76,90
WW87417,Upperclassman,78,104
UI85152,Freshman,77,91
XQ39515,Upperclassman,79,93
FX89848,Freshman,58,74
OK95359,Upperclassman,51,89
IX39609,Freshman,27,65
SU31702,Freshman,73,80
IB46005,Freshman,82,90
NE10913,Freshman,76,95
PR45950,Freshman,54,81
AR47030,Upperclassman,70,97
LO44144,Freshman,75,80
SB27102,Freshman,70,83
HD19598,Freshman,80,90
ZF69602,Freshman,77,103
IL81234,Freshman,80,85
TH31781,Freshman,61,81
NW91718,Upperclassman,75,89
DA87566,Upperclassman,68,92
PU38355,Freshman,64,85
VT22470,Freshman,48,69
SP58096,Freshman,72,95
GT70680,Upperclassman,71,98
GM78372,Freshman,69,87
AZ37093,Freshman,44,71
NY21685,Upperclassman,45,87
TX27118,Freshman,75,84
PH34863,Upperclassman,33,81
DG64188,Upperclassman,79,92
IT80794,Upperclassman,46,87
WK27434,Freshman,84,83
WG33788,Upperclassman,50,91
KX54143,Freshman,85,98
XX28816,Upperclassman,75,89
ST66456,Freshman,77,81
SX29333,Freshman,82,91
BR33250,Freshman,80,84
IT59908,Freshman,79,98
RK63939,Upperclassman,66,94
SH35031,Freshman,68,82
YJ64735,Freshman,69,87
CP58326,Freshman,81,94
FG12040,Upperclassman,90,100
LU20605,Upperclassman,83,98
SU35528,Freshman,62,82
FF67030,Freshman,74,88
NE72091,Upperclassman,56,86
MW64023,Upperclassman,79,92
EZ64269,Upperclassman,51,90
RM73827,Upperclassman,79,92
KA34779,Freshman,65,77
YZ16947,Freshman,81,97
JS35046,Freshman,87,94
QP60607,Freshman,25,59
DE46614,Upperclassman,63,87
LT50204,Upperclassman,65,93
SL92462,Upperclassman,83,96
UN83251,Freshman,52,65
DZ61585,Freshman,60,78
QP83966,Freshman,84,93
AX16986,Freshman,59,69
JY26470,Freshman,73,83
TP30035,Upperclassman,89,103
ZM55142,Freshman,72,82
IY75049,Freshman,81,91
MK59203,Freshman,51,78
RR97197,Freshman,89,89
LE11925,Freshman,70,91
VT36041,Upperclassman,61,92
ZA32296,Upperclassman,81,93
WT41337,Upperclassman,84,93
RZ42630,Upperclassman,82,97
EL58295,Freshman,67,84
OM90886,Freshman,65,90
FN16219,Freshman,78,89
RP92756,Freshman,68,85
DY68167,Upperclassman,66,93
IK49412,Upperclassman,76,105
RI24507,Upperclassman,69,92
KC60804,Upperclassman,72,92
PI90648,Freshman,78,91
WC47250,Freshman,67,87
QN87851,Upperclassman,43,86
ZK19533,Freshman,73,87
TN56350,Upperclassman,74,89
PQ47826,Upperclassman,76,94
BM55684,Freshman,65,80
OA65299,Freshman,50,80
CY18382,Upperclassman,62,85
GW33518,Freshman,36,69
ES98257,Freshman,66,81
CI53689,Upperclassman,65,91
TP23453,Freshman,71,82
FT82903,Freshman,80,97
AQ80112,Freshman,63,90
IC74958,Freshman,74,90
RY24550,Upperclassman,28,94
PM65724,Freshman,63,74
NP88040,Upperclassman,71,94
XH77735,Upperclassman,87,103
OP57745,Freshman,67,87
MN24564,Freshman,78,94
LB92633,Freshman,79,85
MN24137,Upperclassman,88,95
