ID,Group_ID,Study_Group,farm_size,average_soil_quality,average_historical_yield,soybean_yield,yield_per_acre,average_historical_yield_per_acre
AIP125,AIP,control,7.1,47,8665,8888,1251.5,1220.4
AIP737,AIP,treatment,7,45,8702,9003,1272.2,1243.1
BVH834,BVH,control,5.6,91,11077,11188,1997.3,1978
BVH256,BVH,treatment,5.7,89,10998,11871,2014.2,1929.5
CDJ368,CDJ,control,5.6,85,10292,10197,1820.9,1837.9
CDJ267,CDJ,treatment,5.4,87,10250,10576,1806.9,1898.1
CJZ202,CJZ,control,2.9,95,8142,7949,2741,2807.6
CJZ225,CJZ,treatment,2.8,93,8230,8585,2755.3,2939.3
DCY163,DCY,control,6.8,76,12032,11702,1720.9,1769.4
DCY690,DCY,treatment,7.1,75,11974,12882,1705.7,1686.5
DLG776,DLG,control,3.7,29,2646,2825,763.5,715.1
DLG907,DLG,treatment,3.3,28,2604,3467,835.8,789.1
DPM267,DPM,control,6.2,49,6703,6696,1080,1081.1
DPM368,DPM,treatment,6.5,51,6646,7183,1210.3,1022.5
DVB680,DVB,control,7.5,62,9746,9419,1255.9,1299.5
DVB146,DVB,treatment,7.9,60,9692,9917,1206.6,1226.8
EBV133,EBV,control,4.2,64,6433,6344,1510.5,1531.7
EBV260,EBV,treatment,4.3,64,6370,6644,1435.1,1481.4
FAO494,FAO,control,4.4,86,9354,9599,2181.6,2125.9
FAO823,FAO,treatment,4.5,88,9258,9428,2180.4,2057.3
FRB843,FRB,control,7.4,67,10682,10374,1401.9,1443.5
FRB129,FRB,treatment,7.6,69,10658,11352,1416.2,1402.4
FSW885,FSW,control,1.9,38,1246,1487,782.6,655.8
FSW210,FSW,treatment,2.4,37,1183,1092,744.6,492.9
FYY675,FYY,control,2.1,82,5524,5072,2415.2,2630.5
FYY606,FYY,treatment,2,82,5574,5934,2515,2787
GJP615,GJP,control,3.1,70,5528,5551,1790.6,1783.2
GJP285,GJP,treatment,3.2,69,5555,5395,1810.6,1735.9
GON557,GON,control,7.5,55,9481,9497,1266.3,1264.1
GON794,GON,treatment,7.9,56,9578,9637,1307.1,1212.4
GTC945,GTC,control,3.3,41,3761,3605,1092.4,1139.7
GTC276,GTC,treatment,3.4,39,3836,3964,1111.9,1128.2
HMO154,HMO,control,5.3,74,8534,8364,1578.1,1610.2
HMO542,HMO,treatment,5.6,75,8464,8987,1607.5,1511.4
HZD794,HZD,control,3.8,36,2531,2492,655.8,666.1
HZD378,HZD,treatment,3.8,37,2483,2508,712.8,653.4
IBD812,IBD,control,4.8,92,9770,9449,1968.5,2035.4
IBD902,IBD,treatment,4.7,94,9812,10229,1971.7,2087.7
IDK868,IDK,control,4.4,75,7776,7883,1791.6,1767.3
IDK152,IDK,treatment,4.6,74,7734,8290,1844.7,1681.3
KDF286,KDF,control,7,63,9405,9513,1359,1343.6
KDF193,KDF,treatment,6.5,61,9377,9736,1468.7,1442.6
LBR264,LBR,control,3.9,78,6988,7271,1864.4,1791.8
LBR629,LBR,treatment,4.3,79,6932,7138,1823.5,1612.1
LOQ686,LOQ,control,7.5,29,7974,7934,1057.9,1063.2
LOQ440,LOQ,treatment,7.1,31,7912,8085,1065,1114.4
LSZ438,LSZ,control,2.6,35,1554,1625,625,597.7
LSZ921,LSZ,treatment,2.9,37,1577,1295,703,543.8
NCH387,NCH,control,0.8,71,3225,3407,4258.8,4031.3
NCH284,NCH,treatment,1.2,71,3214,3287,4317.6,2678.3
NEK725,NEK,control,2.6,92,7228,7165,2755.8,2780
NEK608,NEK,treatment,2.2,91,7214,7340,2870.5,3279.1
OGM973,OGM,control,6.9,65,9031,9159,1327.4,1308.8
OGM532,OGM,treatment,6.8,63,9130,9312,1393.2,1342.6
OHH113,OHH,control,7.5,87,12353,12154,1620.5,1647.1
OHH961,OHH,treatment,7.2,87,12315,13015,1617.8,1710.4
PNW340,PNW,control,3.2,62,4739,4762,1488.1,1480.9
PNW599,PNW,treatment,3.7,62,4730,4974,1546.6,1278.4
QFC852,QFC,control,3.8,66,5645,5728,1507.4,1485.5
QFC761,QFC,treatment,3.9,68,5576,5700,1519.4,1429.7
RYU431,RYU,control,2.5,47,3424,3506,1402.4,1369.6
RYU930,RYU,treatment,2.1,49,3336,3549,1480.6,1588.6
TAX117,TAX,control,5.9,79,10240,10491,1778.1,1735.6
TAX316,TAX,treatment,6.3,80,10190,10950,1720.6,1617.5
TZN759,TZN,control,3.5,86,8308,8209,2345.4,2373.7
TZN657,TZN,treatment,3,86,8333,8894,2430.4,2777.7
UXL244,UXL,control,7.6,67,10918,10406,1369.2,1436.6
UXL523,UXL,treatment,7.7,65,11002,11470,1408.8,1428.8
WQU173,WQU,control,6.1,38,6724,6723,1102.1,1102.3
WQU961,WQU,treatment,5.6,36,6760,6834,1070.1,1207.1
WZR257,WZR,control,7.9,87,13400,13444,1701.8,1696.2
WZR129,WZR,treatment,8,87,13417,14016,1706.9,1677.1
XBN992,XBN,control,1.2,74,4054,4041,3367.5,3378.3
XBN619,XBN,treatment,1.6,73,3973,4649,3406.5,2483.1
XLH949,XLH,control,2.8,40,2098,2200,785.7,749.3
XLH194,XLH,treatment,2.5,41,2176,2208,878.1,870.4
YAH254,YAH,control,5.9,92,10414,10353,1754.7,1765.1
YAH647,YAH,treatment,5.8,94,10511,10977,1738.4,1812.2
YCI941,YCI,control,2.1,92,6371,6381,3038.6,3033.8
YCI332,YCI,treatment,2.6,94,6447,6693,3066.7,2479.6
YQP752,YQP,control,2.5,28,570,484,193.6,228
YQP703,YQP,treatment,3,26,609,466,242.1,203
ZQU216,ZQU,control,8,83,13153,13585,1698.1,1644.1
ZQU405,ZQU,treatment,8,85,13236,13517,1704.5,1654.5
