Year-in-School,Major,Format,Grade
Freshman,STEM,Online,34
Sophomore,STEM,Online,68
Freshman,STEM,Online,37
Sophomore,Non-STEM,Online,58
Freshman,Non-STEM,Online,28
Freshman,STEM,In-Person,64
Sophomore,Non-STEM,Online,80
Freshman,STEM,Online,35
Freshman,Non-STEM,In-Person,56
Sophomore,Non-STEM,In-Person,74
Sophomore,Non-STEM,Online,53
Sophomore,Non-STEM,In-Person,73
Sophomore,Non-STEM,In-Person,79
Sophomore,Non-STEM,In-Person,72
Freshman,STEM,Online,36
Freshman,Non-STEM,Online,35
Freshman,Non-STEM,Online,37
Freshman,STEM,In-Person,68
Sophomore,STEM,Online,68
Sophomore,Non-STEM,In-Person,61
Sophomore,Non-STEM,In-Person,63
Freshman,STEM,In-Person,70
Sophomore,STEM,Online,69
Freshman,Non-STEM,In-Person,64
Freshman,STEM,In-Person,64
Freshman,STEM,In-Person,83
Freshman,Non-STEM,In-Person,53
Sophomore,Non-STEM,Online,64
Sophomore,STEM,In-Person,76
Sophomore,STEM,Online,64
Freshman,STEM,In-Person,68
Freshman,STEM,Online,35
Freshman,STEM,Online,33
Freshman,STEM,Online,47
Freshman,Non-STEM,Online,24
Sophomore,Non-STEM,In-Person,65
Sophomore,Non-STEM,In-Person,63
Freshman,Non-STEM,Online,35
Freshman,STEM,In-Person,76
Freshman,STEM,In-Person,71
Freshman,STEM,Online,37
Freshman,Non-STEM,In-Person,46
Sophomore,Non-STEM,Online,47
Freshman,Non-STEM,Online,36
Freshman,Non-STEM,In-Person,62
Freshman,STEM,In-Person,71
Freshman,Non-STEM,Online,23
Freshman,Non-STEM,In-Person,56
Freshman,STEM,In-Person,60
Freshman,STEM,In-Person,73
Sophomore,Non-STEM,Online,64
Freshman,Non-STEM,Online,25
Sophomore,STEM,Online,56
Sophomore,Non-STEM,Online,60
Freshman,Non-STEM,Online,24
Sophomore,Non-STEM,Online,68
Freshman,Non-STEM,In-Person,53
Freshman,Non-STEM,In-Person,67
Freshman,STEM,Online,41
Freshman,Non-STEM,In-Person,66
Sophomore,Non-STEM,Online,63
Freshman,Non-STEM,In-Person,67
Freshman,STEM,In-Person,73
Freshman,STEM,In-Person,72
Freshman,STEM,In-Person,68
Sophomore,STEM,Online,71
Sophomore,Non-STEM,Online,56
Sophomore,Non-STEM,In-Person,87
Freshman,Non-STEM,In-Person,65
Sophomore,Non-STEM,Online,55
Sophomore,Non-STEM,Online,75
Freshman,Non-STEM,Online,21
Sophomore,Non-STEM,In-Person,60
Freshman,Non-STEM,In-Person,63
Freshman,Non-STEM,In-Person,66
Sophomore,Non-STEM,In-Person,61
Sophomore,Non-STEM,In-Person,71
Sophomore,Non-STEM,Online,65
Freshman,STEM,Online,39
Freshman,STEM,In-Person,68
Sophomore,STEM,Online,75
Freshman,Non-STEM,Online,24
Sophomore,Non-STEM,Online,61
Sophomore,STEM,In-Person,77
Sophomore,Non-STEM,In-Person,80
Sophomore,STEM,In-Person,65
Freshman,Non-STEM,In-Person,62
Freshman,STEM,Online,38
Freshman,Non-STEM,In-Person,54
Freshman,Non-STEM,Online,27
Sophomore,Non-STEM,In-Person,60
Freshman,Non-STEM,In-Person,69
Freshman,STEM,In-Person,66
Sophomore,Non-STEM,Online,62
Freshman,STEM,Online,18
Freshman,Non-STEM,Online,20
Freshman,Non-STEM,In-Person,60
Freshman,Non-STEM,In-Person,54
Sophomore,STEM,Online,83
Sophomore,Non-STEM,In-Person,52
Sophomore,STEM,In-Person,74
Sophomore,Non-STEM,Online,55
Freshman,Non-STEM,Online,30
Sophomore,Non-STEM,Online,57
Sophomore,STEM,Online,83
Freshman,STEM,Online,40
Freshman,Non-STEM,In-Person,53
Sophomore,Non-STEM,Online,59
Freshman,Non-STEM,Online,38
Sophomore,Non-STEM,In-Person,56
Freshman,STEM,Online,36
Freshman,STEM,In-Person,65
Freshman,Non-STEM,Online,24
Freshman,Non-STEM,Online,33
Sophomore,STEM,Online,65
Sophomore,Non-STEM,Online,59
Sophomore,Non-STEM,Online,59
Freshman,Non-STEM,In-Person,49
Freshman,Non-STEM,Online,16
Sophomore,Non-STEM,Online,60
Freshman,Non-STEM,Online,25
Sophomore,Non-STEM,Online,71
Freshman,Non-STEM,In-Person,70
Sophomore,Non-STEM,In-Person,63
Sophomore,STEM,Online,62
Freshman,Non-STEM,Online,34
Freshman,Non-STEM,Online,20
Freshman,STEM,In-Person,64
Sophomore,STEM,Online,69
Freshman,Non-STEM,In-Person,73
Freshman,Non-STEM,In-Person,70
Sophomore,Non-STEM,In-Person,76
Freshman,Non-STEM,In-Person,55
Freshman,Non-STEM,In-Person,64
Sophomore,Non-STEM,Online,63
Sophomore,Non-STEM,Online,68
Freshman,STEM,In-Person,55
