Movie,Theaters,Inflation Adjusted Average,Date,Distributor,Season,Holiday,Month,Date,Year
Texas Chainsaw,2654,8193,1/4/2013,Lionsgate Films,Winter,No,1,4,2013
Insidious: The Last Key,3116,9493,1/5/2018,Universal Pictures,Winter,No,1,5,2018
M3GAN,3509,8671,1/6/2023,Universal Pictures,Winter,No,1,6,2023
The Devil Inside,2285,14762,1/6/2012,Paramount Pictures,Winter,No,1,6,2012
White Noise,2261,10665,1/7/2005,Universal Pictures,Winter,No,1,7,2005
Taken 3,3594,10907,1/9/2015,Twentieth Century Fox,Winter,No,1,9,2015
Stomp the Yard,2051,10645,1/12/2007,Screen Gems,Winter,Yes,1,12,2007
Save the Last Dance,2230,10513,1/12/2001,Paramount Pictures,Winter,Yes,1,12,2001
Contraband,2863,8505,1/13/2012,Universal Pictures,Winter,Yes,1,13,2012
Scream,3664,8192,1/14/2022,Paramount Pictures,Winter,Yes,1,14,2022
The Green Hornet,3584,9354,1/14/2011,Sony Pictures Releasing,Winter,Yes,1,14,2011
Coach Carter,2524,9581,1/14/2005,Paramount Pictures,Winter,Yes,1,14,2005
Ride Along 2,3175,11100,1/15/2016,Universal Pictures,Winter,Yes,1,15,2016
The Book of Eli,3111,10539,1/15/2010,Warner Bros.,Winter,Yes,1,15,2010
Paul Blart: Mall Cop,3144,10124,1/16/2009,Sony Pictures Releasing,Winter,Yes,1,16,2009
Along Came Polly,2984,9289,1/16/2004,Universal Pictures,Winter,Yes,1,16,2004
Bad Boys for Life,3775,16557,1/17/2020,Sony Pictures Releasing,Winter,Yes,1,17,2020
Dolittle,4155,5257,1/17/2020,Universal Pictures,Winter,Yes,1,17,2020
Ride Along,2663,15590,1/17/2014,Universal Pictures,Winter,Yes,1,17,2014
Glass,3841,10499,1/18/2019,Universal Pictures,Winter,Yes,1,18,2019
Mama,2647,10730,1/18/2013,Universal Pictures,Winter,Yes,1,18,2013
Cloverfield,3411,11743,1/18/2008,Paramount Pictures,Winter,Yes,1,18,2008
27 Dresses,3057,7526,1/18/2008,Twentieth Century Fox,Winter,Yes,1,18,2008
Split,3038,13170,1/20/2017,Universal Pictures,Winter,No,1,20,2017
Underworld: Awakening,3078,8221,1/20/2012,Screen Gems,Winter,No,1,20,2012
Underworld: Evolution,3207,8374,1/20/2006,Screen Gems,Winter,No,1,20,2006
Maze Runner: The Death Cure,3787,6381,1/26/2018,Twentieth Century Fox,Winter,No,1,26,2018
Big Momma's House 2,3261,8505,1/27/2006,Twentieth Century Fox,Winter,No,1,27,2006
Hide and Seek,3005,7307,1/28/2005,Twentieth Century Fox,Winter,No,1,28,2005
Kung Fu Panda 3,3955,10437,1/29/2016,Twentieth Century Fox,Winter,No,1,29,2016
Taken,3183,7765,1/30/2009,Twentieth Century Fox,Winter,No,1,30,2009
Star Wars: Episode IV - A New Hope (1997 Special Edition),2104,17065,1/31/1997,Twentieth Century Fox,Winter,No,1,31,1997
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,683,45560,2/1/2008,Walt Disney Studios Motion Pictures,Winter,No,2,1,2008
Chronicle,2907,7569,2/3/2012,Twentieth Century Fox,Winter,No,2,3,2012
When a Stranger Calls,2999,7204,2/3/2006,Screen Gems,Winter,No,2,3,2006
Jackass Forever,3604,6424,2/4/2022,Paramount Pictures,Winter,No,2,4,2022
Scream 3,3467,10012,2/4/2000,Dimension Films,Winter,No,2,4,2000
Dear John,2969,10262,2/5/2010,Screen Gems,Winter,No,2,5,2010
The SpongeBob Movie: Sponge Out of Water,3641,15205,2/6/2015,Paramount Pictures,Winter,No,2,6,2015
He's Just Not That Into You,3175,8751,2/6/2009,Warner Bros.,Winter,No,2,6,2009
Barbershop 2: Back in Business,2711,8941,2/6/2004,Metro-Goldwyn-Mayer (MGM),Winter,No,2,6,2004
Birds of Prey,4236,7792,2/7/2020,Warner Bros.,Winter,No,2,7,2020
The Lego Movie,3775,18291,2/7/2014,Warner Bros.,Winter,No,2,7,2014
The Monuments Men,3083,7137,2/7/2014,Sony Pictures Releasing,Winter,No,2,7,2014
How to Lose a Guy in 10 Days,2923,8133,2/7/2003,Paramount Pictures,Winter,No,2,7,2003
The Lego Movie 2: The Second Part,4303,7928,2/8/2019,Warner Bros.,Winter,No,2,8,2019
Identity Thief,3141,11000,2/8/2013,Universal Pictures,Winter,No,2,8,2013
Fool's Gold,3125,6908,2/8/2008,Warner Bros.,Winter,No,2,8,2008
Fifty Shades Freed,3768,10233,2/9/2018,Universal Pictures,Winter,No,2,9,2018
