salary,degree
57334.93867,Bachelor's
77730.35975,Bachelor's
74850.97896,Bachelor's
66438.05632,Bachelor's
56790.09331,Bachelor's
60842.70341,Bachelor's
80349.58238,Bachelor's
42896.59388,Bachelor's
42841.15299,Bachelor's
70133.54993,Bachelor's
45671.89422,Bachelor's
29655.77346,Bachelor's
70171.72447,Bachelor's
76213.5888,Bachelor's
60658.85814,Bachelor's
66416.31078,Bachelor's
49539.15384,Bachelor's
72257.39197,Bachelor's
71570.2132,Bachelor's
47476.87035,Bachelor's
56979.69473,Bachelor's
55571.03779,Bachelor's
50869.1092,Bachelor's
72849.33556,Bachelor's
96213.08051,Bachelor's
34546.83271,Bachelor's
64577.11358,Bachelor's
76035.58462,Bachelor's
87248.04601,Bachelor's
87841.06322,Bachelor's
51960.2433,Bachelor's
62886.49063,Bachelor's
72884.59178,Bachelor's
42817.3884,Bachelor's
53469.10612,Bachelor's
74482.77248,Bachelor's
56920.0396,Bachelor's
63393.65008,Bachelor's
38884.83703,Bachelor's
81369.56298,Bachelor's
82080.28491,Bachelor's
72055.97471,Bachelor's
66911.15683,Bachelor's
62545.25527,Bachelor's
79245.00177,Bachelor's
83986.32775,Bachelor's
54213.53902,Bachelor's
65848.37066,Bachelor's
47739.15254,Bachelor's
97117.7834,Bachelor's
70166.10469,Bachelor's
50078.14837,Bachelor's
48416.76822,Bachelor's
70675.89252,Bachelor's
70585.73653,Bachelor's
74085.99343,Bachelor's
57558.20993,Bachelor's
67218.32848,Bachelor's
73380.88683,Bachelor's
53518.43678,Bachelor's
40621.50939,Bachelor's
54045.96124,Bachelor's
33990.48165,Bachelor's
69388.39952,Bachelor's
67249.23866,Bachelor's
53098.11853,Bachelor's
72502.14058,Bachelor's
55971.06217,Bachelor's
47989.63501,Bachelor's
74559.30938,Bachelor's
71286.03363,Bachelor's
42129.52438,Bachelor's
76064.02086,Bachelor's
60980.5738,Bachelor's
67847.58211,Bachelor's
52823.76526,Bachelor's
72956.77645,Bachelor's
99259.21442,Bachelor's
51207.54068,Bachelor's
51001.05064,Bachelor's
62910.2039,Bachelor's
69721.94028,Bachelor's
66215.7872,Bachelor's
58354.5435,Bachelor's
61846.00306,Bachelor's
43737.93697,Bachelor's
48643.89739,Bachelor's
66896.87931,Bachelor's
44385.99297,Bachelor's
44912.44867,Bachelor's
62535.65299,Bachelor's
57322.9917,Bachelor's
75995.76499,Bachelor's
91840.75047,Bachelor's
44656.59727,Bachelor's
52299.59258,Bachelor's
49253.39375,Bachelor's
55720.85109,Bachelor's
80038.11307,Bachelor's
68568.96428,Bachelor's
79983.22161,Bachelor's
65518.86814,Bachelor's
61642.86519,Bachelor's
106038.2879,Bachelor's
91688.0296,Bachelor's
58581.16234,Bachelor's
57317.75908,Bachelor's
76842.19586,Bachelor's
68511.62066,Bachelor's
69408.80631,Bachelor's
56842.48931,Bachelor's
70847.61517,Bachelor's
55626.41817,Bachelor's
53559.5557,Bachelor's
71504.86197,Bachelor's
70077.28249,Bachelor's
69179.34181,Bachelor's
48285.59763,Bachelor's
74811.35206,Bachelor's
54588.16094,Bachelor's
82243.30599,Bachelor's
59011.24803,Bachelor's
70764.03798,Bachelor's
51932.4031,Bachelor's
78624.42967,Bachelor's
51078.97451,Bachelor's
88768.31849,Bachelor's
60437.04371,Bachelor's
72956.00982,Bachelor's
58132.62746,Bachelor's
51317.56494,Bachelor's
76683.11564,Bachelor's
45357.00612,Bachelor's
48127.88596,Bachelor's
69600.51506,Bachelor's
71543.66864,Bachelor's
57307.03775,Bachelor's
71628.06861,Bachelor's
53505.60035,Bachelor's
80932.24885,Bachelor's
55189.0644,Bachelor's
58454.03125,Bachelor's
78699.3009,Bachelor's
74312.35432,Bachelor's
71717.34298,Bachelor's
64983.73011,Bachelor's
86568.78352,Bachelor's
59080.97742,Bachelor's
71311.97197,Bachelor's
46700.09739,Bachelor's
51891.7184,Bachelor's
58838.27264,Bachelor's
54270.24362,Bachelor's
69163.51572,Bachelor's
62143.93137,Bachelor's
46766.03696,Bachelor's
54474.67155,Bachelor's
70533.35311,Bachelor's
46810.17944,Bachelor's
60521.07767,Bachelor's
46435.37315,Bachelor's
79225.75825,Bachelor's
77620.92273,Bachelor's
57186.38236,Bachelor's
68071.24153,Bachelor's
83121.73475,Bachelor's
71439.56794,Bachelor's
57624.03819,Bachelor's
92016.34618,Bachelor's
77411.53465,Bachelor's
60433.48985,Bachelor's
51584.66427,Bachelor's
61550.68539,Bachelor's
46868.98427,Bachelor's
94926.20103,Bachelor's
48476.82524,Bachelor's
73812.12956,Bachelor's
51958.10462,Bachelor's
61347.66354,Bachelor's
64236.98172,Bachelor's
70380.88086,Bachelor's
82354.72766,Bachelor's
57108.66164,Bachelor's
64816.66969,Bachelor's
89593.51001,Bachelor's
71244.29084,Bachelor's
81908.88688,Bachelor's
66148.48377,Bachelor's
73430.08017,Bachelor's
50190.10283,Bachelor's
61349.87126,Bachelor's
77090.08683,Bachelor's
76620.36484,Bachelor's
83143.7873,Bachelor's
64041.78944,Bachelor's
67091.23198,Bachelor's
81410.19358,Bachelor's
57756.54621,Bachelor's
41296.1944,Bachelor's
71282.16678,Bachelor's
103850.2864,Bachelor's
51786.25662,Bachelor's
38380.82422,Bachelor's
58845.34887,Bachelor's
63034.31975,Bachelor's
81628.017,Bachelor's
78561.31433,Bachelor's
58471.04475,Bachelor's
52568.18006,Bachelor's
94584.72851,Bachelor's
73915.65347,Bachelor's
54980.95938,Bachelor's
46583.67411,Bachelor's
61776.37167,Bachelor's
44295.14378,Bachelor's
58440.72288,Bachelor's
41140.11894,Bachelor's
