experience,degree,salary
0,Bachelor's,89597.1
0,Bachelor's,89956.8
0,Bachelor's,90165.1
0,Master's,100448.9487
0,Master's,99454.69545
0,Master's,100749.7615
0,Master's,100684.7275
0,Master's,99496.47815
0,Master's,100138.9511
0,Master's,100154.9266
1,Bachelor's,91654.9
1,Bachelor's,90951
1,Bachelor's,90457.9
1,Bachelor's,90243
1,Bachelor's,91054.5
1,Bachelor's,91235.6
1,Master's,102288.2668
1,Master's,100918.4582
1,Master's,99834.08329
1,Master's,101079.0358
2,Bachelor's,91805.9
2,Bachelor's,92099
2,Bachelor's,91907.6
2,Master's,100635.2503
2,Master's,102868.7623
2,Master's,101247.5491
2,Master's,102050.8371
2,Master's,101364.9149
2,Master's,101909.8766
2,Master's,102950.282
3,Bachelor's,92482.9
3,Bachelor's,93214.7
3,Bachelor's,93466.5
3,Bachelor's,93228.6
3,Master's,102836.433
3,Master's,102796.4881
3,Master's,102263.713
3,Master's,101749.0577
3,Master's,101756.8065
3,Master's,101591.5163
4,Bachelor's,93736.5
4,Bachelor's,93549.4
4,Bachelor's,93665.7
4,Bachelor's,93747
4,Master's,102851.1687
4,Master's,105087.2221
4,Master's,103249.1129
4,Master's,102505.6805
4,Master's,104160.1432
4,Master's,103703.5813
5,Bachelor's,95231.4
5,Bachelor's,94580.2
5,Master's,105258.5924
5,Master's,106754.9937
5,Master's,104418.9468
5,Master's,106104.8029
5,Master's,105484.0831
5,Master's,103973.3119
5,Master's,104709.1255
5,Master's,104184.6441
6,Bachelor's,95969.6
6,Bachelor's,96142.5
6,Bachelor's,96709.7
6,Bachelor's,96912.6
6,Master's,106231.2262
6,Master's,105454.026
6,Master's,104394.7506
6,Master's,106522.9235
6,Master's,107025.0515
6,Master's,105706.4202
7,Bachelor's,97533.8
7,Bachelor's,96831.5
7,Bachelor's,97617.4
7,Bachelor's,97398.5
7,Bachelor's,97729.2
7,Bachelor's,97279.9
7,Bachelor's,97264.5
7,Bachelor's,96409
7,Master's,106251.8286
7,Master's,108766.1099
8,Bachelor's,98214.6
8,Bachelor's,98391.2
8,Bachelor's,99018.3
8,Master's,108176.1803
8,Master's,108973.7813
8,Master's,108312.3966
8,Master's,105954.1492
8,Master's,108667.0073
8,Master's,106634.2565
8,Master's,108270.3002
9,Bachelor's,97797.5
9,Bachelor's,99096
9,Master's,109312.5656
9,Master's,110104.8412
9,Master's,108078.5394
9,Master's,108794.3262
9,Master's,109100.4046
9,Master's,108407.3614
9,Master's,109682.6253
9,Master's,109198.8929
10,Bachelor's,99831.2
10,Bachelor's,99733.1
10,Master's,113595.782
10,Master's,109855.9392
10,Master's,109876.3406
10,Master's,108782.3658
10,Master's,110429.4336
10,Master's,108735.7705
10,Master's,110526.0499
10,Master's,109663.187
