experience,salary
0,98594.97209
0,100448.9487
0,99454.69545
0,101695.0476
0,101684.5098
0,100749.7615
0,100684.7275
0,99496.47815
0,100138.9511
0,100154.9266
1,99231.6818
1,102288.2668
1,100918.4582
1,100462.0812
1,100888.3003
1,99834.08329
1,101079.0358
1,101300.8731
1,99909.85121
1,99076.13316
2,100635.2503
2,102868.7623
2,101247.5491
2,100851.6914
2,102050.8371
2,101553.795
2,101652.9904
2,101364.9149
2,101909.8766
2,102950.282
3,104322.3157
3,102747.2649
3,104196.2961
3,102836.433
3,102796.4881
3,102263.713
3,101749.0577
3,101756.8065
3,101591.5163
3,101082.0933
4,102851.1687
4,105087.2221
4,103249.1129
4,102505.6805
4,104081.1409
4,104160.1432
4,102800.7634
4,103087.7723
4,103703.5813
4,104109.1898
5,105258.5924
5,106754.9937
5,104418.9468
5,103957.8445
5,106104.8029
5,105484.0831
5,103973.3119
5,104709.1255
5,104851.959
5,104184.6441
6,105041.3992
6,106231.2262
6,105454.026
6,104394.7506
6,106584.8292
6,106522.9235
6,105190.7637
6,107260.3527
6,107025.0515
6,105706.4202
7,106146.1618
7,106529.8538
7,107327.6954
7,106251.8286
7,108766.1099
7,109544.5857
7,106611.725
7,108567.8943
7,106055.8908
7,107878.4462
8,108176.1803
8,106084.8579
8,108973.7813
8,108312.3966
8,105954.1492
8,107013.5467
8,106720.0469
8,108667.0073
8,106634.2565
8,108270.3002
9,109312.5656
9,110104.8412
9,108078.5394
9,108794.3262
9,107875.2698
9,109228.4094
9,109100.4046
9,108407.3614
9,109682.6253
9,109198.8929
10,113595.782
10,109855.9392
10,109876.3406
10,108782.3658
10,110533.2707
10,110429.4336
10,108735.7705
10,110526.0499
10,109663.187
10,110877.5846
